0	data6	399	1	
frame:0	1	object:1	99	81
frame:1	1	object:1	100	81
frame:2	1	object:1	102	83
frame:3	1	object:1	104	84
frame:4	1	object:1	106	84
frame:5	1	object:1	106	84
frame:6	1	object:1	106	84
frame:7	1	object:1	106	83
frame:8	1	object:1	106	83
frame:9	1	object:1	106	83
frame:10	1	object:1	106	82
frame:11	1	object:1	106	82
frame:12	1	object:1	105	81
frame:13	1	object:1	105	81
frame:14	1	object:1	105	80
frame:15	1	object:1	105	80
frame:16	1	object:1	104	79
frame:17	1	object:1	104	80
frame:18	1	object:1	104	84
frame:19	1	object:1	104	87
frame:20	1	object:1	103	87
frame:21	1	object:1	103	86
frame:22	1	object:1	103	86
frame:23	1	object:1	103	86
frame:24	1	object:1	103	85
frame:25	1	object:1	103	85
frame:26	1	object:1	103	84
frame:27	1	object:1	103	84
frame:28	1	object:1	103	83
frame:29	1	object:1	103	83
frame:30	1	object:1	103	82
frame:31	1	object:1	103	82
frame:32	1	object:1	103	81
frame:33	1	object:1	103	81
frame:34	1	object:1	104	84
frame:35	1	object:1	106	86
frame:36	1	object:1	106	87
frame:37	1	object:1	107	86
frame:38	1	object:1	107	86
frame:39	1	object:1	107	85
frame:40	1	object:1	106	85
frame:41	1	object:1	106	84
frame:42	1	object:1	106	84
frame:43	1	object:1	106	83
frame:44	1	object:1	105	83
frame:45	1	object:1	105	83
frame:46	1	object:1	105	82
frame:47	1	object:1	104	82
frame:48	1	object:1	104	81
frame:49	1	object:1	104	82
frame:50	1	object:1	104	85
frame:51	1	object:1	104	87
frame:52	1	object:1	104	86
frame:53	1	object:1	104	86
frame:54	1	object:1	105	85
frame:55	1	object:1	105	85
frame:56	1	object:1	105	84
frame:57	1	object:1	105	84
frame:58	1	object:1	105	83
frame:59	1	object:1	105	83
frame:60	1	object:1	105	83
frame:61	1	object:1	105	82
frame:62	1	object:1	105	82
frame:63	1	object:1	105	81
frame:64	1	object:1	105	81
frame:65	1	object:1	105	81
frame:66	1	object:1	105	85
frame:67	1	object:1	105	87
frame:68	1	object:1	105	87
frame:69	1	object:1	105	87
frame:70	1	object:1	105	86
frame:71	1	object:1	105	86
frame:72	1	object:1	105	85
